gauge_id,area_gages2
1073000,31.3
1123000,77.85
1137500,228.55
1139800,22.8
1142500,82.17
1162500,49.71
1187300,53.92
1195100,14.84
1333000,112.16
1350080,83.84
1350140,43.76
1411300,79.32
1414500,64.45
1415000,85.63
1434025,9.7
1466500,5.38
1484100,9
1516500,31.48
1542810,13.62
1549500,97.49
1552500,60.64
1557500,115.3
1567500,38.77
1586610,72.7
1591400,59.09
1594950,6.12
1596500,124.65
1669000,71.84
2027500,123.34
2038850,22
2055100,30.54
2096846,19.57
2102908,19.73
2143040,66.48
2193340,87.87
2198100,79.49
2297155,93.6
2300700,73.84
2349900,122.87
2381600,10.32
2384540,21.37
2395120,84.01
2430085,40.56
2465493,83.42
2479155,137.28
3026500,20.31
3049800,14.89
3140000,70.35
3237280,32.95
3241500,170.91
3291780,71.41
3368000,29.72
3455500,72.95
3460000,127.02
3471500,198.16
3592718,66.99
4043050,76.62
4115265,95.78
4161580,64.31
4197170,95.21
4213075,11.65
4233000,91.9
5454000,65.38
5591550,96.21
6278300,58.85
6311000,61.23
6614800,4.03
6746095,8.9
6879650,11.51
7083000,60.76
7195800,38.23
7208500,159.22
7263295,119.03
7335700,102.57
7362587,69.77
8050800,100.93
8103900,86
8158810,31.79
8267500,96.26
8271000,43.77
8380500,198.06
9035800,22.94
9035900,72.84
9047700,23.57
9065500,37.78
9066000,32.41
9066200,16.1
9066300,15.52
9306242,81.99
9378170,21.9
9492400,128.97
9508300,93
10244950,28.2
10259000,22.46
10336645,19.6
10336660,29.8
10343500,27.6
11141280,54.01
11143000,120.61
11237500,59.82
11284400,41.72
11475560,16.79
11476600,71.85
11481200,105.4
12025700,103.3
12073500,15.67
12114500,66.56
12117000,44.85
12145500,78.98
12147500,102.89
12178100,69.68
12375900,19.72
12377150,32.18
12383500,17.67
12447390,58.1
13018300,27.9
14138800,21.29
14138870,14.02
14138900,21.68
14139800,40.7
14141500,59.87
14158790,40.57
14303200,8.06
14306340,14.73
14362250,41.42
